#,Name of the Plant,Family,Common Name,link
52,Adonis aestivalis L.,RANUNCULACEAE,Summer Pheasant's Eye (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009952&column=szBarcode
53,Aegle marmelos (L.) Corr.,RUTACEAE,Bel,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013488&column=szBarcode
54,Aerva javanica (Burm.f.) Juss. ex Schult.,AMARANTHACEAE,Bur (Guj.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008910&column=szBarcode
55,Aerva lanata (L.) Juss.,AMARANTHACEAE,"Gorakhganja, Chaya (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008911&column=szBarcode
56,Aesculus indica Colebr. ex Camb.,HIPPOCASTANACEAE,Pangar,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003574&column=szBarcode
57,Aganosma caryophyllata G.Don,APOCYNACEAE,Maalati,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009282&column=szBarcode
58,Agave americana Blanco,AMARYLLIDACEAE,"Bans-keora, Kantala",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003118&column=szBarcode
59,Agave americana L.,AMARYLLIDACEAE,Chick-kuri (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003122&column=szBarcode
60,Agave angustifolia Haw.,AMARYLLIDACEAE,Kantala (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003123&column=szBarcode
61,Agave sisalana Perr. ex Engelm.,AMARYLLIDACEAE,Sisal (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003120&column=szBarcode
62,Ageratum conyzoides L.,ASTERACEAE,Uchunti (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013622&column=szBarcode
63,Aglaia elaeagnoidea (Juss.) Benth.,MELIACEAE,"Gandha priyangu, Yerraaduga (Tel.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009897&column=szBarcode
64,Agropyron repens (L.) Beauv.,POACEAE,"Couch grass, Dog grass (Eng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003184&column=szBarcode
65,Ailanthus altissima (Mill.) Swingle,SIMAROUBACEAE,Tree of Heaven (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013486&column=szBarcode
66,Ailanthus excelsa Roxb.,SIMAROUBACEAE,"Arlu, Maruk",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013484&column=szBarcode
67,Ailanthus triphysa (Dennst.) Alston,SIMAROUBACEAE,Guggul Dhup,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013482&column=szBarcode
68,Ajuga bracteosa Wall. ex Benth.,LAMIACEAE,Nilkanthi (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008885&column=szBarcode
69,Alangium salvifolium (L.f.) Wang.,ALANGIACEAE,"Akola, Dhera",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013767&column=szBarcode
70,Albizzia amara (Roxb.) Boivin,MIMOSACEAE,Lallei (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003553&column=szBarcode
71,Albizzia lebbeck (L.) Willd.,MIMOSACEAE,Siris,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003552&column=szBarcode
72,Albizzia odoratissima (L.f.) Benth.,MIMOSACEAE,Kala siris,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003557&column=szBarcode
73,Aleurites mollucana Willd.,EUPHORBIACEAE,Candle Nut Tree (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008968&column=szBarcode
