#,Name of the Plant,Family,Common Name,link
1048,Leea indica (Burm.f.) Merr.,LEEACEAE,Kukur-jihwa,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003389&column=szBarcode
1049,Leea macrophylla Roxb. ex Hornem.,LEEACEAE,Dholsamudra,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003392&column=szBarcode
1050,Lens culinaris Medik.,FABACEAE,"Masur, Masser",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003411&column=szBarcode
1051,Leonotis nepetaiefolia R.Br.,LAMIACEAE,Hejurchei,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008727&column=szBarcode
1052,Leonurus cardiaca L.,LAMIACEAE,Common Motherwort (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008650&column=szBarcode
1053,Leonurus sibiricus L.,LAMIACEAE,Halkusha,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008648&column=szBarcode
1054,Lepidagathis cristata Willd.,ACANTHACEAE,Bhuiterada (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013327&column=szBarcode
1055,Lepidagathis hamiltoniana Wall.,ACANTHACEAE,Agnikhair (Mundari),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013325&column=szBarcode
1056,Lepidagathis incurva Buch.-Ham. ex D.Don,ACANTHACEAE,Vangvattur (Mizoram),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013323&column=szBarcode
1057,Lepidagathis trinervis Nees,ACANTHACEAE,Harancharo (Guj.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013305&column=szBarcode
1058,Lepidium iberis L.,BRASSICACEAE,Safed towdri,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013862&column=szBarcode
1059,Lepidium latifolium L.,BRASSICACEAE,Gonyuch (Ladhak),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013866&column=szBarcode
1060,Lepidium sativum L.,BRASSICACEAE,"Halim, Harf",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013867&column=szBarcode
1061,Leptadenia reticulata (Retz.) Wight & Arn.,ASCLEPIADACEAE,Dodi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009477&column=szBarcode
1062,Leucaena glauca (L.) Benth.,MIMOSACEAE,Lasobaval (Guj.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003460&column=szBarcode
1063,Leucas aspera (Willd.) Link,LAMIACEAE,Safed Halkusa,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008725&column=szBarcode
1064,Leucas cephalotus (Roth.) Spreng.,LAMIACEAE,"Dhurpi sag, Deldona",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013343&column=szBarcode
1065,Leucas lavandulifolia Sm.,LAMIACEAE,"Guma, Halkusa",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008718&column=szBarcode
1066,Leucas stelligera Wall.,LAMIACEAE,Barumbi (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013345&column=szBarcode
1067,Leucas zeylanica R.Br.,LAMIACEAE,Mudittumbei (Ceylon),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008723&column=szBarcode
1068,Licuala spinosa Wurmb.,ARECACEAE,Jungli selai,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000002946&column=szBarcode
1069,Lilium giganteum Wall.,LILIACEAE,Jaunsar-Giotra,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000002958&column=szBarcode
1070,Lilium martagon L.,LILIACEAE,Turk's Cap Lily (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013138&column=szBarcode
1071,Lilium tigrinum Ker Gawl.,LILIACEAE,Tiger Lily (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013137&column=szBarcode
1072,Lilium wallichianum Schult.f.,LILIACEAE,Findora,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013139&column=szBarcode
1073,Limnophila aromatica (Lam.) Merr.,SCROPHULARIACEAE,Kuttra,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013258&column=szBarcode
1074,Limnophila indica (L.) Druce,SCROPHULARIACEAE,Kuttra,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013264&column=szBarcode
1075,Limnophila rugosa (Roth) Merr.,SCROPHULARIACEAE,Kala karpur (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013257&column=szBarcode
1076,Limonia acidissima L.,RUTACEAE,"Kavat, Kadbel (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013490&column=szBarcode
1077,Lindera caudata Benth.,LAURACEAE,Dieng-soh-orthai-dieng-brau-salu(Khasi Hills),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009149&column=szBarcode
1078,Lindera neesiana (Nees) Kurz,LAURACEAE,Siltimur (Nepal),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009151&column=szBarcode
1079,Linderbergia indica (L.) Vatke,SCROPHULARIACEAE,Haldi basanto (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013266&column=szBarcode
1080,Lindernia anagallis (Burm.f.) Pennell,SCROPHULARIACEAE,Gadagvel (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008762&column=szBarcode
1081,Lindernia crustacea (L.) F.Muell.,SCROPHULARIACEAE,Malaysian false pimpernel (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008769&column=szBarcode
1082,Lindernia oppositifolia (Retz.) Mukerjee,SCROPHULARIACEAE,Hendegel ba (Mundari),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008767&column=szBarcode
1083,Lindernia procumbens (Krock.) Philcox,SCROPHULARIACEAE,Vakapushpi (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008764&column=szBarcode
1084,Lindernia ruelloides (Colsm.) Mukherjee,SCROPHULARIACEAE,Sam-tham-lang (Garo),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008766&column=szBarcode
1085,Linum usitatissimum L.,LINACEAE,"Tisi, Alsi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013824&column=szBarcode
1086,Liriodendron tulipifera L.,MAGNOLIACEAE,Yellow popler (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013910&column=szBarcode
1087,Litchi chinensis Sonn.,SAPINDACEAE,Lichi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003386&column=szBarcode
1088,Lithospermum arvensis L.,BORAGINACEAE,Corn Gromwell,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009140&column=szBarcode
1089,Lithospermum officinale L.,BORAGINACEAE,Gromwell,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009139&column=szBarcode
1090,Litsea cubeba (Lour.) Pers.,LAURACEAE,Mejankeri (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009157&column=szBarcode
1091,Litsea lancifolia Hook.f.,LAURACEAE,Kali Pahenle (Nepal),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009148&column=szBarcode
1092,Litsea monopetala (Roxb.) Pers.,LAURACEAE,"Meda, Katmarra",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009147&column=szBarcode
1093,Litsea stocksii Hook.f.,LAURACEAE,"Pisi, Posha (Mar.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009156&column=szBarcode
1094,Lobelia inflata L.,LOBELIACEAE,Puke weed (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009655&column=szBarcode
1095,Lobelia leschenaultiana (Presl.) Skottsh.,LOBELIACEAE,Kadu hogesoppu (Kan.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009540&column=szBarcode
1096,Lobelia nicotianifolia Roth ex Roem. & Schult.,LOBELIACEAE,"Nala, Narasala",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009534&column=szBarcode
1097,Lobelia pyramidalis Wall.,LOBELIACEAE,Berawchal (Lushai),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009526&column=szBarcode
1098,Lolium temulentum L.,POACEAE,Mochni,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013132&column=szBarcode
1099,Lonicera japonica Thunb.,CAPRIFOLIACEAE,Leihruisen (Lushai),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013192&column=szBarcode
1100,Lonicera periclymenum L.,CAPRIFOLIACEAE,Woodbine Honeysuckle (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013191&column=szBarcode
1101,Lonicera semenovii Regel.,CAPRIFOLIACEAE,"Shea, Sheva",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009653&column=szBarcode
1102,Loxococcus rupicola Wendl. & Drude,ARECACEAE,Dothalu (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000002951&column=szBarcode
1103,Ludwigia adscendens (L.) Hara,ONAGRACEAE,Kesara-dam,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009432&column=szBarcode
1104,Ludwigia octovalvis (Jacq.) P.H.Raven,ONAGRACEAE,Banlunga,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009434&column=szBarcode
1105,Ludwigia perennis L.,ONAGRACEAE,"Sukuri pota, Gara sirgiti (Mundari)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009435&column=szBarcode
1106,Ludwigia prostrata Roxb.,ONAGRACEAE,Huring Rangaini (Mundari),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009433&column=szBarcode
1107,Luffa acutangula (L.) Roxb.,CUCURBITACEAE,"Kali tori, Jhinga tori",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009413&column=szBarcode
1108,Luffa cylindrica(L.) M.Roem.,CUCURBITACEAE,Ghiya tori,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009411&column=szBarcode
1109,Luffa echinata Roxb.,CUCURBITACEAE,Bindal,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009415&column=szBarcode
1110,Luisia tenuifolia Blume,CUCURBITACEAE,Amb-keli (Marathi),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000002974&column=szBarcode
1111,Lumnitzera racemosa Willd.,COMBRETACEAE,Kripa (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009553&column=szBarcode
1112,Lupinus albus L.,FABACEAE,Turmas,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013062&column=szBarcode
1113,Lupinus angustifolius L.,FABACEAE,Blue Lupine (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003293&column=szBarcode
1114,Lupinus luteus L.,FABACEAE,Yellow Lupine (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003292&column=szBarcode
1115,Luvunga scandens (Roxb.) Buch.-Ham. ex Wight,RUTACEAE,Kakoli (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009830&column=szBarcode
1116,Lychnis coronaria (L.) Desr.,CARYOPHYLLACEAE,Rose Campion (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013964&column=szBarcode
1117,Lycium barbarum L.,SOLANACEAE,Gangro (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009185&column=szBarcode
1118,Lycopodium cernuum L.,LYCOPODIACEAE,Kangrem (Lushai),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008562&column=szBarcode
1119,Lycopodium clavatum L.,LYCOPODIACEAE,Bendarli (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008564&column=szBarcode
1120,Lycopus europaeus L.,LAMIACEAE,"Jalnim, Gandamgundu (Kashmir & Punjab)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008706&column=szBarcode
1121,Lygodium flexuosum (L.) Sw.,LYGODIACEAE,Bhut-raj (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008554&column=szBarcode
1122,Lygodium japonicum (Thunb.) Sw.,LYGODIACEAE,Japanese climbing fern (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008551&column=szBarcode
1123,Lygodium microphyllum (Cav.) R.Br.,LYGODIACEAE,Curalvallipanna (Mal.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008552&column=szBarcode
1124,Lyonia ovalifolia (Wall.) Drude,LYGODIACEAE,Angeri (Nepali),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013546&column=szBarcode
1125,Macaranga denticulata (Blume) Muell.-Arg.,PROTEACEAE,Burna (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008770&column=szBarcode
1126,Macaranga indica Wight,EUPHORBIACEAE,Uppila (Mal.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008772&column=szBarcode
1127,Macaranga peltata (Roxb.) Muell.-Arg.,EUPHORBIACEAE,Chanda (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008774&column=szBarcode
1128,Madhuca butyracea (Roxb.) J.F.Macbr.,MORACEAE,Phulvara,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013553&column=szBarcode
1129,Madhuca longifolia (Koen.) Macbride,SAPOTACEAE,South Indian Mahua (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013556&column=szBarcode
1130,Magnolia grandifolia L.,CAPPARACEAE,"Andachampa, Him champa",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013909&column=szBarcode
1131,Mahonia borealis Takeda,BERBERIDACEAE,Pualeng (Lushai),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003780&column=szBarcode
1132,Mahonia sikkimensis Takeda,BERBERIDACEAE,Chatri (Nepal),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000004776&column=szBarcode
1133,Majorana hortensis Moench.,BERBERIDACEAE,Murwa,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008709&column=szBarcode
1134,Malachra capitata L.,LAMIACEAE,Banbhindi (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013839&column=szBarcode
1135,Mallotus philippensis (Lam.) Muell.Arg.,EUPHORBIACEAE,"Kamala, Sindur",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008801&column=szBarcode
1136,Malpighia glabra L.,MALPIGHIACEAE,Barbados Cherry (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013820&column=szBarcode
1137,Malpighia punicifolia L.,MALPIGHIACEAE,Vallari (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013818&column=szBarcode
1138,Malus pumila Mill.,MALPIGHIACEAE,"Seb, Sev",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013075&column=szBarcode
1139,Malus sylvestris Mill.,ROSACEAE,"Gulkhair, Kunzi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009639&column=szBarcode
1140,Malva parvifolia L.,ROSACEAE,Panirak,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013831&column=szBarcode
1141,Malva rotundifolia L.,MALVACEAE,Khubasi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013830&column=szBarcode
1142,Malva sylvestris L.,MALVACEAE,"Gulkhair, Kunzi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013829&column=szBarcode
1143,Malva verticillata L.,MALVACEAE,"Lapha, Napha (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013832&column=szBarcode
1144,Malvastrum coromandelianum (L.) Garcke,MALVACEAE,"Kharenti, Chandiri (Mar.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013827&column=szBarcode
1145,Mandragora officinarum L.,CLUSIACEAE,Luckmuna (Hindi),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009138&column=szBarcode
1146,Mangifera indica L.,ANACARDIACEAE,"Am, Amb",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003452&column=szBarcode
1147,Manihot esculenta Crantz.,EUPHORBIACEAE,Karrapendalamu (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008806&column=szBarcode
1148,Manilkara hexandra (Roxb.) Dubard,EUPHORBIACEAE,Khirni,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013538&column=szBarcode
1149,Manilkara kauki (L.) Dubard,SAPOTACEAE,Khirni,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013536&column=szBarcode
1150,Marrubium vulgare L.,MARANTACEAE,Paharigandana,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013213&column=szBarcode
1151,Marsdenia roylei Wight,ASCLEPIADACEAE,Murkula,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009485&column=szBarcode
1152,Marsdenia tenacissima (Roxb.) Moon,ASCLEPIADACEAE,"Jiti, Chiti",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009484&column=szBarcode
1153,Marsdenia tinctoria R.Br.,ASCLEPIADACEAE,Riyong (North Bengal),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009481&column=szBarcode
1154,Marsilea minuta L.,MARSILEACEAE,Susnishak (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008546&column=szBarcode
1155,Matricaria chamomilla L.,ASTERACEAE,Babunphul,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009337&column=szBarcode
1156,Matthiola incana (L.) R.Br.,ASTERACEAE,Todri lila (Punjab.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013877&column=szBarcode
1157,Maytenus emarginata (Willd.) Ding Hou,BRASSICACEAE,Henkal (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003371&column=szBarcode
1158,Measa chisia Ham. ex D.Don,CELASTRACEAE,Susi-poma (Assamese),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009551&column=szBarcode
1159,Measa indica (Roxb.) DC.,MYRSINACEAE,Kramighna Phal ,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009550&column=szBarcode
1160,Measa ramentacea Wall.,MYRSINACEAE,Seketia (Assamese),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009549&column=szBarcode
1161,Medicago sativa L.,FABACEAE,"Wilayti-gawuth, Lasunghas",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003420&column=szBarcode
1162,Melanorrhoea usiata Wall.,ANACARDIACEAE,Kheu (Manipur),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008586&column=szBarcode
1163,Melastoma malabathricum L.,MELASTOMATACEAE,Palore (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013506&column=szBarcode
1164,Melia azedarach L.,MELIACEAE,"Drek, Bakain",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008601&column=szBarcode
1165,Melilotus alba Medik. ex Desr.,FABACEAE,Safed Senji,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003361&column=szBarcode
1166,Melilotus indica (L.) All.,FABACEAE,Banmethi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003362&column=szBarcode
1167,Melilotus officinalis (L.) Medik. ex Desr.,FABACEAE,Yellow Sweetclover (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003360&column=szBarcode
1168,Melissa axillaris (Benth.) Bakh.f.,LAMIACEAE,Bililotan,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013249&column=szBarcode
1169,Melochia corchorifolia L.,STERCULIACEAE,Bilpat,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013934&column=szBarcode
1170,Melodinus monogynus Roxb.,APOCYNACEAE,Soh-brab (Khasi Hills),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009447&column=szBarcode
1171,Melothria amplexicaulis (Lam.) Cogn.,CUCURBITACEAE,Tarali,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009427&column=szBarcode
1172,Melothria maderaspatana (L.) Cogn.,CUCURBITACEAE,"Agumaki, Bilari",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009428&column=szBarcode
1173,Melothria scabra Naudin,CUCURBITACEAE,Varali (Bombay),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009426&column=szBarcode
1174,Memecylon angustifolium Wight,MELASTOMATACEAE,Vellaikkaya (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009640&column=szBarcode
1175,Memecylon umbellatum Burm.f.,MELASTOMATACEAE,Anjani (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013503&column=szBarcode
1176,Mentha aquatica L.,LAMIACEAE,Water Mint (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008694&column=szBarcode
1177,Mentha arvensis L.,LAMIACEAE,"Podina, Pudina",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008689&column=szBarcode
1178,Mentha longifolia (L.) Huds.,LAMIACEAE,"Podina, Jungli pudina",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008685&column=szBarcode
1179,Mentha piperita L.,LAMIACEAE,"Paparaminta, Gamathi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008691&column=szBarcode
1180,Mentha pulegium L.,LAMIACEAE,Pudding Grass (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008692&column=szBarcode
1181,Mentha sativa L.,LAMIACEAE,Peppermint (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008702&column=szBarcode
1182,Mentha spicata L.,LAMIACEAE,"Pahari pudina, Pudina",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008687&column=szBarcode
1183,Mentha verticillata D.Don,LAMIACEAE,Whorled Mint (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008704&column=szBarcode
1184,Menyanthes trifoliata L.,MENYANTHACEAE,Bog bean (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009406&column=szBarcode
1185,Meriandra bengalensis Benth.,LAMIACEAE,Kafurkapat,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013246&column=szBarcode
1186,Meriandra strobilifera Benth.,LAMIACEAE,Kafurkapat,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013247&column=szBarcode
1187,Merremia dissecta (Jacq.) Hallier f.,CONVOLVULACEAE,Noyau vine (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000006538&column=szBarcode
1188,Merremia gangetica (L.) Cufod.,CONVOLVULACEAE,Musakani,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009816&column=szBarcode
1189,Merremia tridentata (L.) Hallier f.,CONVOLVULACEAE,Prasarini (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009814&column=szBarcode
1190,Merremia turpethum (L.) Shah & Bhatt,CONVOLVULACEAE,"Nishothra, Terpeth root (Eng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009820&column=szBarcode
1191,Merremia umbellata (L.) Hallier f.,CONVOLVULACEAE,Sapussundu (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009774&column=szBarcode
1192,Merremia vitifolia (Burm.f.) Hallier f.,CONVOLVULACEAE,Navalicha vel (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009812&column=szBarcode
1193,Mesua ferrea L.,CLUSIACEAE,"Nagkesar, Nagesar (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013852&column=szBarcode
1194,Meyna laxiflora Robyns,RUBIACEAE,"Muyna, Muduna",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009385&column=szBarcode
1195,Michelia champaca L.,MAGNOLIACEAE,"Champa, Champaca",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013912&column=szBarcode
1196,Michelia montana Blume,MAGNOLIACEAE,Pan sopa (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013911&column=szBarcode
1197,Michelia nilagirica Zenk.,MAGNOLIACEAE,Shembuga (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013908&column=szBarcode
1198,Microcos paniculata L.,TILIACEAE,Shiral,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003844&column=szBarcode
1199,Micromeria biflora (Buch.-Ham. ex D.Don) Benth.,LAMIACEAE,Ote budu ba (Mundari),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013250&column=szBarcode
1200,Micromeria capitellata Benth.,LAMIACEAE,Karvat (Bombay),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008543&column=szBarcode
1201,Microrhychus nudicaulis Less.,ASTERACEAE,Paprastaka,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009297&column=szBarcode
1202,Microsorum scolopendria (Burm.f.) Copel,POLYPODIACEAE,Paku Wangi (Malay),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008568&column=szBarcode
1203,Mikania cordata (Burm.f.) B.L.Rob.,ASTERACEAE,Tara lata (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009310&column=szBarcode
1204,Miliusa velutina (Dunal) Hook.f. & Thoms.,ANNONACEAE,"Dom-sal, Kari",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013901&column=szBarcode
1205,Millettia extensa (Benth.) Baker,FABACEAE,"Gauj, Gonj",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003348&column=szBarcode
1206,Millettia pachycarpa Benth.,FABACEAE,Bishloti (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003345&column=szBarcode
1207,Millettia piscidia Wight,FABACEAE,Dieng-sohlynthein (Khasi Hills),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003346&column=szBarcode
1208,Millettia racemosa Benth.,FABACEAE,Jungi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003347&column=szBarcode
1209,Millingtonia hortensis L.f.,BIGNONIACEAE,"Neem-chameli, Akas nim",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009132&column=szBarcode
1210,Mimosa pudica L.,MIMOSACEAE,"Lajwanti, Chui-mui",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003464&column=szBarcode
1211,Mimosa rubicaulis Lam.,MIMOSACEAE,Shiah-kanta,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003462&column=szBarcode
